NFLX,242.09
RHT,46.31
XLNX,32.15
STX,14.94
AKAM,37.60
LLTC,33.44
TXN,34.23
MSFT,25.48
JNPR,41.26
CSCO,17.04
CTSH,82.41
NVDA,18.20
EA,19.73
TDC,50.59
FISV,62.88
DELL,14.34
CTXS,75.26
CSC,49.38
BRCM,38.36
CA,24.13
AMAT,15.53
V,74.22
ACN,54.87
TEL,35.02
EMC,26.55
XRX,10.88
TSS,18.23
CRM,33.53
WDC,38.18
TER,17.84
JDSU,19.11
QCOM,54.47
PAYX,31.83
NTAP,48.20
INTU,53.95
INTC,19.72
ADP,51.68
YHOO,16.84
HPQ,40.98
EBAY,31.36
BMC,50.71
ADBE,34.16
ADSK,43.83
ALTR,42.67
MOLX,24.82
KLAC,46.80
ORCL,34.02
LSI,6.66
AMD,8.36
FIS,33.23
JBL,20.04
GOOG,591.80
IBM,164.27
AAPL,344.56
SNDK,45.51
LRCX,56.31
MU,11.30
MCHP,37.92
FFIV,93.56
MA,253.55
WU,20.77
SYMC,18.46
HRS,50.05
