Gross Margin %,33.9,32.3
Operating Margin %,6.9,6.0
Earnings Per Share USD,0.90,0.88
Book Value Per Share USD,8.31,9.13
SG&A,19.88,19.15
R&D,3.19,2.93
Return on Assets %,4.27,3.97
Return on Equity %,10.85,10.37
Return on Invested Capital %,5.45,5.17
Cap Ex as a % of Sales,2.21,2.29
Total Current Assets,26.27,27.56
Total Current Liabilities,21.19,19.69
Current Ratio,1.24,1.40
Quick Ratio,0.91,1.03
