Gross Margin %,86.6,86.3
Operating Margin %,28.9,29.3
Earnings Per Share USD,1.93,2.07
Book Value Per Share USD,11.11,11.87
SG&A,38.55,36.21
R&D,10.59,10.55
Return on Assets %,7.79,8.02
Return on Equity %,17.26,17.61
Return on Invested Capital %,13.06,13.52
