Gross Margin %,47.1,49.2
Operating Margin %,3.3,5.5
Earnings Per Share USD,0.55,0.34
Book Value Per Share USD,1.88,2.11
SG&A,14.45,14.16
R&D,28.18,27.54
Return on Assets %,14.24,8.55
Return on Equity %,27.90,17.69
Return on Invested Capital %,27.90,17.69
