Gross Margin %,61.4,61.2
Operating Margin %,17.8,21.9
Earnings Per Share USD,1.17,1.49
Book Value Per Share USD,8.59,9.68
SG&A,27.12,25.99
R&D,13.47,11.91
Return on Assets %,7.72,8.99
Return on Equity %,14.19,16.32
Return on Invested Capital %,9.66,11.50
Cap Ex as a % of Sales,2.72,2.44
Inventory,1.71,1.81
Total Current Assets,65.71,67.50
Total Current Liabilities,20.10,19.32
Current Ratio,3.27,3.49
Quick Ratio,2.99,3.20
Inventory Turnover,11.86,11.34
