Gross Margin %,43.1,33.3
Operating Margin %,27.0,13.8
Earnings Per Share USD,4.04,1.70
Book Value Per Share USD,29.40,30.09
SG&A,6.31,7.41
R&D,9.67,11.93
Return on Assets %,10.42,4.07
Return on Equity %,15.37,5.83
Return on Invested Capital %,11.09,3.83
Cap Ex as a % of Sales,3.41,9.66
Inventory,6.67,7.25
Total Current Assets,42.81,44.55
Total Current Liabilities,10.75,18.20
Current Ratio,3.98,2.45
Quick Ratio,3.08,1.84
Inventory Turnover,5.43,4.72
