Gross Margin %,65.0,59.6
Operating Margin %,16.1,12.0
Earnings Per Share USD,1.71,1.58
Book Value Per Share USD,10.11,11.78
SG&A,36.08,34.15
R&D,12.66,13.29
Return on Assets %,8.98,6.72
Return on Equity %,21.50,15.09
Return on Invested Capital %,12.45,10.27
