Gross Margin %,81.9,82.9
Operating Margin %,30.4,31.0
Earnings Per Share USD,2.96,3.45
Book Value Per Share USD,13.97,16.82
SG&A,39.44,39.02
R&D,12.06,12.88
Return on Assets %,16.47,15.82
Return on Equity %,22.89,22.60
Return on Invested Capital %,22.89,22.60
Cap Ex as a % of Sales,3.14,2.19
Total Current Assets,48.69,40.61
Total Current Liabilities,23.74,24.38
Current Ratio,2.05,1.67
Quick Ratio,1.90,1.54
