Gross Margin %,89.6,89.0
Operating Margin %,26.1,26.8
Earnings Per Share USD,1.65,1.66
Book Value Per Share USD,11.78,13.49
SG&A,42.70,44.31
R&D,17.50,16.87
Return on Assets %,9.72,8.78
Return on Equity %,15.18,13.38
Return on Invested Capital %,11.12,10.12
Cap Ex as a % of Sales,4.99,6.16
Total Current Assets,41.95,43.42
Total Current Liabilities,13.91,12.75
Current Ratio,3.02,3.41
Quick Ratio,2.84,3.27
