Gross Margin %,43.5,43.6
Operating Margin %,25.2,23.5
Earnings Per Share USD,1.84,1.69
Book Value Per Share USD,1.45,1.64
SG&A,18.29,20.13
Return on Assets %,13.71,11.07
Return on Equity %,157.75,111.79
Return on Invested Capital %,23.93,17.81
Cap Ex as a % of Sales,2.96,4.73
Total Current Assets,49.20,51.67
Total Current Liabilities,43.31,47.98
Current Ratio,1.14,1.08
Quick Ratio,1.14,0.95
R&D,13.575769,13.575769
