Gross Margin %,30.9,30.5
Operating Margin %,12.2,11.4
Earnings Per Share USD,2.81,2.59
Book Value Per Share USD,17.64,18.86
SG&A,12.44,12.69
R&D,5.12,5.18
Return on Assets %,7.17,6.01
Return on Equity %,17.15,14.40
Return on Invested Capital %,11.44,8.86
Cap Ex as a % of Sales,4.06,4.01
Total Current Assets,37.42,33.68
Total Current Liabilities,19.19,20.74
Current Ratio,1.95,1.62
Quick Ratio,1.07,0.98
