Gross Margin %,62.5,62.1
Operating Margin %,32.4,27.4
Earnings Per Share USD,2.39,2.13
Book Value Per Share USD,9.02,10.36
SG&A,14.20,15.10
R&D,15.46,19.02
Return on Assets %,19.27,14.16
Return on Equity %,27.15,22.66
Return on Invested Capital %,24.64,18.56
Cap Ex as a % of Sales,19.93,20.67
Inventory,5.76,5.61
Total Current Assets,36.38,37.18
