Gross Margin %,19.6,31.4
Operating Margin %,7.3,20.8
Earnings Per Share USD,1.09,6.49
Book Value Per Share USD,5.73,8.83
SG&A,4.06,3.53
R&D,7.98,6.73
Return on Assets %,5.85,29.61
Return on Equity %,19.70,96.04
Return on Invested Capital %,5.75,42.50
Cap Ex as a % of Sales,7.68,4.26
Total Current Assets,69.65,62.44
Total Current Liabilities,37.54,33.60
Current Ratio,1.86,1.86
Quick Ratio,1.34,1.31
