Gross Margin %,78.6,80.8
Operating Margin %,42.7,52.4
Earnings Per Share USD,0.86,1.95
Book Value Per Share USD,-0.55,-0.06
SG&A,27.02,21.49
R&D,6.90,7.06
Return on Assets %,6.65,16.33
Cap Ex as a % of Sales,24.96,6.07
Total Current Assets,78.00,79.68
Total Current Liabilities,35.50,33.70
Current Ratio,2.20,2.36
Quick Ratio,2.07,2.26
