Gross Margin %,30.7,30.2
Operating Margin %,12.7,13.0
Earnings Per Share USD,3.40,3.84
Book Value Per Share USD,5.62,6.13
SG&A,17.97,17.18
Return on Assets %,15.95,15.76
Return on Equity %,67.84,63.64
Return on Invested Capital %,67.46,63.33
Cap Ex as a % of Sales,1.48,1.25
Total Current Assets,72.92,75.53
Total Current Liabilities,50.26,48.66
Current Ratio,1.45,1.55
Quick Ratio,1.31,1.37
R&D,13.575769,13.575769
